N,expected_E,expected_M
1,-0.6076,0.0072
2,-0.7006,0.0069
3,-0.765333,0.007
4,-0.8197,0.01135
5,-0.8596,0.01528
6,-0.8874,0.0188333
7,-0.909714,0.0252571
8,-0.9294,0.03145
9,-0.945111,0.0366
10,-0.96104,0.0413
11,-0.975236,0.0455636
12,-0.9882,0.0491167
13,-1.00025,0.0505846
14,-1.00906,0.0520429
15,-1.01747,0.0532533
16,-1.02585,0.052925
17,-1.03261,0.0522235
18,-1.03858,0.0516444
19,-1.04467,0.0508842
20,-1.05064,0.05021
21,-1.05644,0.0503048
22,-1.06125,0.0498
23,-1.0665,0.0488435
24,-1.07043,0.048225
25,-1.07392,0.047024
26,-1.07618,0.0458538
27,-1.07801,0.0451704
28,-1.08101,0.0440357
29,-1.08378,0.0429862
30,-1.08559,0.04202
31,-1.08701,0.0409097
32,-1.08842,0.0396375
33,-1.09006,0.0384727
34,-1.09125,0.0374941
35,-1.09235,0.0366514
36,-1.09441,0.0358556
37,-1.09635,0.0349351
38,-1.09855,0.0343684
39,-1.1007,0.0336564
40,-1.10278,0.033435
41,-1.10525,0.0327902
42,-1.10684,0.0323571
43,-1.10828,0.0319116
44,-1.11025,0.0317636
45,-1.11263,0.0319911
46,-1.11465,0.032487
47,-1.11594,0.0332085
48,-1.11723,0.03415
49,-1.11839,0.0352204
50,-1.11965,0.036428
51,-1.121,0.0376784
52,-1.12249,0.0387577
53,-1.12349,0.039917
54,-1.12426,0.0411556
55,-1.12562,0.04224
56,-1.12685,0.0435179
57,-1.12795,0.044607
58,-1.12909,0.0455759
59,-1.1304,0.0462407
60,-1.13201,0.0468733
61,-1.13334,0.0471738
62,-1.13468,0.0474516
63,-1.13592,0.0475778
64,-1.13679,0.0474406
65,-1.13794,0.0472092
66,-1.13886,0.0469727
67,-1.13976,0.0468418
68,-1.14052,0.0467382
69,-1.14122,0.0465652
70,-1.14197,0.0464686
71,-1.14312,0.0464648
72,-1.1442,0.0463
73,-1.14476,0.0460274
74,-1.14541,0.0457378
75,-1.14619,0.0455947
76,-1.14721,0.0456237
77,-1.14799,0.0458182
78,-1.14913,0.0458359
79,-1.15001,0.045643
80,-1.15058,0.0453625
81,-1.15136,0.0452
82,-1.15171,0.0450756
83,-1.15195,0.0448072
84,-1.15226,0.0447
85,-1.15232,0.0444518
86,-1.15253,0.0444093
87,-1.15263,0.0443333
88,-1.15293,0.0442909
89,-1.15331,0.0444719
90,-1.15397,0.0444467
91,-1.15465,0.0445758
92,-1.1553,0.044637
93,-1.15595,0.044557
94,-1.15673,0.0445681
95,-1.15739,0.0444884
96,-1.15794,0.044625
97,-1.15809,0.0445526
98,-1.15862,0.0446959
99,-1.15897,0.0446343
100,-1.15933,0.044594
101,-1.15958,0.0445624
102,-1.16009,0.0446
103,-1.16041,0.0447068
