N,expected_E,expected_M
1,-1.88,0.97
2,-1.805,0.945
3,-1.74667,0.928333
4,-1.7,0.9125
5,-1.646,0.888
6,-1.60167,0.868333
7,-1.56571,0.849286
8,-1.53625,0.83
9,-1.51667,0.817778
10,-1.521,0.816
11,-1.51273,0.810455
12,-1.50583,0.804583
13,-1.49692,0.796538
14,-1.48786,0.791071
15,-1.48867,0.791333
16,-1.47,0.784375
17,-1.46529,0.782353
18,-1.45722,0.777778
19,-1.45105,0.772895
20,-1.442,0.7675
21,-1.43476,0.76
22,-1.42864,0.751136
23,-1.42522,0.745217
24,-1.425,0.741667
25,-1.4212,0.7376
26,-1.41654,0.737308
27,-1.41037,0.735
28,-1.40393,0.732143
29,-1.40034,0.72931
30,-1.395,0.725667
31,-1.39065,0.722581
32,-1.38562,0.720781
33,-1.37818,0.717727
34,-1.37676,0.7175
35,-1.37657,0.716571
36,-1.37583,0.715972
37,-1.37459,0.715405
38,-1.37684,0.715921
39,-1.37974,0.715897
40,-1.38075,0.716
41,-1.37829,0.714756
42,-1.37452,0.712262
43,-1.37302,0.711512
44,-1.37205,0.709432
45,-1.37111,0.707444
46,-1.36783,0.704891
47,-1.3683,0.704468
48,-1.36896,0.703333
49,-1.36694,0.701633
50,-1.3678,0.7004
51,-1.36863,0.699608
52,-1.36846,0.700192
53,-1.36868,0.70066
54,-1.3713,0.70213
55,-1.37291,0.703364
56,-1.37339,0.704821
57,-1.37579,0.707105
58,-1.37828,0.708879
59,-1.38119,0.710763
60,-1.38517,0.71325
61,-1.38869,0.715738
62,-1.39177,0.717984
63,-1.3927,0.719524
64,-1.39312,0.721094
65,-1.39292,0.721923
66,-1.39091,0.721818
67,-1.39075,0.72209
68,-1.39338,0.723897
69,-1.39739,0.726304
70,-1.40014,0.728357
71,-1.40282,0.730493
72,-1.40667,0.7325
73,-1.41041,0.734452
74,-1.41311,0.736081
75,-1.41573,0.7378
76,-1.41658,0.73875
77,-1.41753,0.73974
78,-1.41949,0.740769
79,-1.41975,0.741139
80,-1.41925,0.741313
81,-1.42012,0.742099
82,-1.42098,0.742805
83,-1.42181,0.743675
84,-1.42357,0.744524
85,-1.42388,0.744882
86,-1.42465,0.745174
87,-1.42517,0.745575
88,-1.42318,0.745455
89,-1.42157,0.744831
90,-1.42089,0.744278
91,-1.41934,0.743297
92,-1.41663,0.742228
93,-1.41473,0.741183
94,-1.4116,0.739309
95,-1.40989,0.737684
96,-1.40812,0.735937
97,-1.40629,0.733711
98,-1.40469,0.731939
99,-1.40434,0.730707
100,-1.4043,0.7296
101,-1.40307,0.728713
102,-1.40147,0.727549
103,-1.40097,0.72733
104,-1.39933,0.726346
105,-1.39762,0.725429
106,-1.39509,0.724245
107,-1.39262,0.723785
108,-1.39102,0.723657
109,-1.39028,0.723486
110,-1.39009,0.723909
111,-1.38991,0.724099
112,-1.38884,0.724286
113,-1.38726,0.724513
114,-1.38667,0.725044
115,-1.38635,0.725174
116,-1.38698,0.725733
117,-1.38744,0.72641
118,-1.38788,0.726949
119,-1.38765,0.727227
120,-1.38792,0.727833
121,-1.3881,0.728512
122,-1.38893,0.729426
123,-1.38943,0.730163
124,-1.39016,0.730806
125,-1.39048,0.7314
126,-1.39127,0.732302
127,-1.3922,0.733228
128,-1.39273,0.733906
129,-1.39357,0.734496
130,-1.39477,0.735192
131,-1.39573,0.735802
132,-1.39606,0.736477
133,-1.39707,0.737331
134,-1.39716,0.737724
135,-1.39733,0.738037
136,-1.39772,0.738419
137,-1.39737,0.738212
138,-1.39754,0.738188
139,-1.39755,0.738058
140,-1.39686,0.737643
141,-1.39532,0.737128
142,-1.39423,0.736514
143,-1.39315,0.735804
144,-1.3916,0.734965
145,-1.38986,0.734172
146,-1.38938,0.733699
147,-1.38823,0.732721
148,-1.38743,0.73223
149,-1.38685,0.731913
150,-1.38533,0.731433
151,-1.38404,0.730828
152,-1.38336,0.730658
153,-1.38281,0.730556
154,-1.38175,0.730097
155,-1.38065,0.729581
156,-1.38026,0.729679
157,-1.37968,0.72949
158,-1.37911,0.729146
159,-1.37792,0.728553
160,-1.37662,0.727875
161,-1.37559,0.727174
162,-1.37432,0.726296
163,-1.37374,0.725644
164,-1.37348,0.724787
165,-1.37267,0.723788
166,-1.37169,0.72262
167,-1.37096,0.721707
168,-1.36976,0.720685
169,-1.36959,0.720414
170,-1.36924,0.719971
171,-1.36883,0.719386
172,-1.36884,0.719041
173,-1.36913,0.718671
174,-1.36948,0.718333
175,-1.3692,0.717857
176,-1.36835,0.717102
177,-1.36689,0.715706
178,-1.36629,0.714803
179,-1.36542,0.713771
180,-1.3645,0.712667
181,-1.36309,0.711519
182,-1.36236,0.710687
183,-1.36164,0.710246
184,-1.3606,0.709674
185,-1.35995,0.709027
186,-1.35898,0.708306
187,-1.35786,0.707219
188,-1.35702,0.705878
189,-1.35587,0.70455
190,-1.35558,0.7035
191,-1.35487,0.702487
192,-1.35417,0.701302
193,-1.35321,0.700207
194,-1.35216,0.698763
195,-1.35123,0.697256
196,-1.35031,0.69574
197,-1.34949,0.694188
198,-1.34854,0.692525
199,-1.34779,0.691106
200,-1.34725,0.68975
201,-1.34667,0.688881
202,-1.34678,0.688168
203,-1.34665,0.68766
204,-1.34681,0.687157
205,-1.34693,0.686756
206,-1.3467,0.686311
207,-1.34657,0.686014
208,-1.34615,0.685433
209,-1.34536,0.684641
210,-1.3451,0.683786
211,-1.34464,0.683128
212,-1.34373,0.682358
213,-1.34305,0.681901
214,-1.3422,0.681285
215,-1.34158,0.680419
216,-1.34106,0.679444
217,-1.34041,0.678618
218,-1.34073,0.678417
219,-1.34027,0.677831
220,-1.34018,0.677341
221,-1.33982,0.676448
222,-1.33977,0.675766
223,-1.34004,0.675067
224,-1.33969,0.674152
225,-1.33951,0.673378
226,-1.33876,0.672345
227,-1.33934,0.671564
228,-1.3393,0.670658
229,-1.33913,0.669847
230,-1.33939,0.669239
231,-1.33939,0.668398
232,-1.33871,0.667306
233,-1.33841,0.666073
234,-1.33816,0.664786
235,-1.33766,0.663404
236,-1.33708,0.662119
237,-1.33654,0.660802
238,-1.33618,0.659706
239,-1.33603,0.65887
240,-1.33537,0.657833
241,-1.33452,0.657054
242,-1.33388,0.656529
243,-1.33354,0.655823
244,-1.3332,0.655061
245,-1.33265,0.654184
246,-1.33236,0.653801
247,-1.33146,0.652935
248,-1.33129,0.6525
249,-1.33092,0.652108
250,-1.33088,0.65198
251,-1.33088,0.651514
252,-1.33119,0.651448
253,-1.33123,0.651423
254,-1.33106,0.651496
255,-1.33145,0.651784
256,-1.33188,0.652187
257,-1.33241,0.652665
258,-1.3326,0.653004
259,-1.33266,0.653282
260,-1.33285,0.653558
261,-1.33272,0.653697
262,-1.33282,0.654065
263,-1.33289,0.654297
264,-1.3336,0.654867
265,-1.33426,0.655377
266,-1.33485,0.655827
267,-1.33551,0.656348
268,-1.33627,0.656828
269,-1.33647,0.657286
270,-1.33652,0.657685
271,-1.33668,0.658155
272,-1.33647,0.658364
273,-1.33656,0.658736
274,-1.33675,0.659051
275,-1.33727,0.659382
276,-1.33797,0.659728
277,-1.33812,0.65991
278,-1.33853,0.659982
279,-1.33889,0.659892
280,-1.33907,0.659839
281,-1.3394,0.659698
282,-1.33954,0.659362
283,-1.33996,0.659329
284,-1.34,0.65919
285,-1.34,0.659105
286,-1.33997,0.659021
287,-1.33979,0.658833
288,-1.33882,0.65816
289,-1.33865,0.657751
290,-1.33814,0.657172
291,-1.33811,0.656838
292,-1.33815,0.65649
293,-1.33816,0.656007
294,-1.33813,0.655697
295,-1.33786,0.655186
296,-1.33774,0.654916
297,-1.33744,0.654596
298,-1.33775,0.654597
299,-1.33753,0.654331
300,-1.3372,0.653983
301,-1.33738,0.653787
302,-1.33778,0.653675
303,-1.33795,0.653614
304,-1.33842,0.653602
305,-1.33846,0.653459
306,-1.33859,0.653301
307,-1.33847,0.65316
308,-1.33828,0.653149
309,-1.33832,0.653155
310,-1.33832,0.653097
311,-1.33862,0.653328
312,-1.33849,0.653526
313,-1.33853,0.653706
314,-1.33863,0.653806
315,-1.33835,0.653825
316,-1.33835,0.653956
317,-1.33801,0.65388
318,-1.33767,0.653632
319,-1.33746,0.653323
320,-1.33738,0.652875
321,-1.33695,0.652103
322,-1.3363,0.65132
323,-1.33567,0.650635
324,-1.33515,0.649954
325,-1.33458,0.6492
326,-1.3339,0.648344
327,-1.33333,0.647446
328,-1.3328,0.646585
329,-1.33252,0.645547
330,-1.33258,0.644515
331,-1.33227,0.643686
332,-1.33169,0.642756
333,-1.33114,0.641667
334,-1.33087,0.640225
335,-1.33054,0.638627
336,-1.33045,0.637202
337,-1.33,0.635772
338,-1.32938,0.634423
339,-1.32891,0.632847
340,-1.32862,0.631015
341,-1.32806,0.629282
342,-1.32763,0.627456
343,-1.32723,0.625743
344,-1.32634,0.624317
345,-1.32606,0.623188
346,-1.32595,0.622124
347,-1.32591,0.621268
348,-1.32566,0.620618
349,-1.32536,0.620272
350,-1.32534,0.620071
351,-1.32553,0.619957
352,-1.32548,0.619716
353,-1.32533,0.619618
354,-1.32494,0.619477
355,-1.32465,0.619239
356,-1.32438,0.618876
357,-1.32417,0.618754
358,-1.32416,0.618785
359,-1.32432,0.618774
360,-1.32433,0.618667
361,-1.32432,0.618546
362,-1.32448,0.618508
363,-1.3246,0.61832
364,-1.32464,0.618063
365,-1.32468,0.617849
366,-1.32489,0.617623
367,-1.32504,0.617289
368,-1.32497,0.617092
369,-1.32493,0.616843
370,-1.32454,0.616446
371,-1.32437,0.616038
372,-1.32387,0.615349
373,-1.3234,0.614544
374,-1.3231,0.613717
375,-1.32259,0.612947
376,-1.32199,0.612074
377,-1.32159,0.611393
378,-1.32135,0.610913
379,-1.32113,0.610567
380,-1.32084,0.610145
381,-1.32068,0.609724
382,-1.32018,0.609411
383,-1.31963,0.609138
384,-1.31971,0.608932
385,-1.31943,0.608701
386,-1.31943,0.608653
387,-1.31964,0.608592
388,-1.31964,0.608454
389,-1.3199,0.608419
390,-1.31967,0.608051
391,-1.31916,0.607775
392,-1.31852,0.607372
393,-1.31812,0.607252
394,-1.31779,0.607043
395,-1.31709,0.606772
396,-1.31657,0.606515
397,-1.31594,0.606259
398,-1.31575,0.606043
399,-1.31551,0.605789
400,-1.3153,0.605737
401,-1.31526,0.605761
402,-1.31527,0.605796
403,-1.31511,0.605806
404,-1.31522,0.606002
405,-1.31536,0.606333
406,-1.31574,0.606626
407,-1.31597,0.606843
408,-1.31613,0.607206
409,-1.31601,0.607469
410,-1.31605,0.607829
411,-1.31601,0.608175
412,-1.31609,0.608434
413,-1.3161,0.608559
414,-1.31601,0.608611
415,-1.31569,0.608506
416,-1.31536,0.608365
417,-1.31525,0.608201
418,-1.31536,0.608038
419,-1.31523,0.607804
420,-1.31488,0.607512
421,-1.31494,0.607411
422,-1.31502,0.607168
423,-1.31501,0.606844
424,-1.315,0.606462
425,-1.31464,0.606047
426,-1.31415,0.605669
427,-1.3137,0.605094
428,-1.3136,0.604603
429,-1.31354,0.604091
430,-1.31328,0.603488
431,-1.31309,0.602947
432,-1.31285,0.602535
433,-1.3124,0.601905
434,-1.3123,0.601417
435,-1.31216,0.601023
436,-1.31206,0.600516
437,-1.31199,0.60008
438,-1.31189,0.599863
439,-1.31185,0.599749
440,-1.31164,0.599568
441,-1.31147,0.599342
442,-1.31118,0.599106
443,-1.31097,0.598792
444,-1.31083,0.598423
445,-1.31058,0.598169
446,-1.31038,0.597948
447,-1.31022,0.597763
448,-1.31,0.597489
449,-1.30973,0.597216
450,-1.30976,0.597133
451,-1.3096,0.597007
452,-1.30931,0.596947
453,-1.30909,0.59681
454,-1.30899,0.596817
455,-1.30912,0.596791
456,-1.30936,0.596743
457,-1.30939,0.596641
458,-1.30959,0.596376
459,-1.30978,0.596166
460,-1.3098,0.596
461,-1.30993,0.595879
462,-1.30978,0.595682
463,-1.30963,0.595551
464,-1.30985,0.595474
465,-1.30978,0.59528
466,-1.30972,0.595172
467,-1.30951,0.594957
468,-1.30953,0.59469
469,-1.30936,0.594478
470,-1.30945,0.594277
471,-1.30949,0.593917
472,-1.30953,0.593792
473,-1.3093,0.593541
474,-1.30916,0.59327
475,-1.30905,0.593063
476,-1.30899,0.592983
477,-1.30899,0.592872
478,-1.30925,0.592939
479,-1.30969,0.593121
480,-1.30988,0.593167
481,-1.30981,0.59315
482,-1.31002,0.593247
483,-1.31033,0.593499
484,-1.31076,0.593812
485,-1.31124,0.594134
