N,expected_E,expected_M
1,-0.65,0.09
2,-0.745,0.055
3,-0.826667,0.07
4,-0.865,0.0775
5,-0.902,0.104
6,-0.925,0.1225
7,-0.94,0.135714
8,-0.96375,0.13625
9,-0.982222,0.132222
10,-0.995,0.128
11,-0.999091,0.12
12,-1.0025,0.110833
13,-1.00923,0.105385
14,-1.01214,0.101786
15,-1.02,0.097
16,-1.03375,0.0915625
17,-1.05,0.0873529
18,-1.05833,0.0833333
19,-1.05789,0.0831579
20,-1.0635,0.08075
21,-1.0681,0.0780952
22,-1.07455,0.0759091
23,-1.08,0.0758696
24,-1.08333,0.0764583
25,-1.0904,0.0756
26,-1.09462,0.0759615
27,-1.1,0.0805556
28,-1.10286,0.08375
29,-1.1031,0.0846552
30,-1.104,0.088
31,-1.10032,0.0922581
32,-1.09594,0.095625
33,-1.09636,0.102727
34,-1.09471,0.1075
35,-1.09286,0.114571
36,-1.09111,0.122083
37,-1.09108,0.126892
38,-1.09316,0.132237
39,-1.09667,0.138462
40,-1.1025,0.14575
41,-1.10293,0.151707
42,-1.10405,0.157262
43,-1.10605,0.163721
44,-1.11227,0.171023
45,-1.11644,0.176333
46,-1.11739,0.18163
47,-1.11787,0.185638
48,-1.12042,0.19125
49,-1.11939,0.193469
50,-1.1214,0.1968
51,-1.12059,0.200196
52,-1.12077,0.201731
53,-1.12208,0.204623
54,-1.1237,0.206389
55,-1.12491,0.207455
56,-1.12786,0.208661
57,-1.13,0.210702
58,-1.12862,0.211121
59,-1.12661,0.212797
60,-1.12667,0.215583
61,-1.12836,0.218689
62,-1.13113,0.22129
63,-1.13286,0.224524
64,-1.13375,0.227422
65,-1.13492,0.230923
66,-1.13561,0.235303
67,-1.13701,0.239179
68,-1.13824,0.244044
69,-1.13971,0.248406
70,-1.14129,0.252857
71,-1.14239,0.257042
72,-1.14444,0.261875
73,-1.14644,0.266575
74,-1.14946,0.27223
75,-1.15293,0.277867
76,-1.15684,0.283618
77,-1.16065,0.289026
78,-1.16321,0.293718
79,-1.16684,0.298671
80,-1.16987,0.303687
81,-1.1721,0.308519
82,-1.1739,0.313171
83,-1.17602,0.317771
84,-1.17738,0.32131
85,-1.17671,0.323471
86,-1.17628,0.325698
87,-1.17644,0.327414
88,-1.1758,0.329034
89,-1.17551,0.330843
