N,expected_E,expected_M
1,-1.9992,0.9998
2,-1.9992,0.9998
3,-1.99947,0.999867
4,-1.9979,0.99945
5,-1.99776,0.9994
6,-1.99773,0.9994
7,-1.99749,0.999343
8,-1.99715,0.99925
9,-1.9972,0.999267
10,-1.99724,0.99928
11,-1.99713,0.999255
12,-1.99717,0.999267
13,-1.99714,0.999262
14,-1.99717,0.999271
15,-1.9972,0.99928
16,-1.99725,0.999287
17,-1.99727,0.999294
18,-1.99733,0.999311
19,-1.99747,0.999347
20,-1.99748,0.99935
21,-1.99749,0.999352
22,-1.99747,0.999345
23,-1.99755,0.999365
24,-1.99758,0.999375
25,-1.99765,0.999392
26,-1.99774,0.999415
27,-1.99779,0.99943
28,-1.99779,0.999429
29,-1.99775,0.999421
30,-1.99777,0.999427
31,-1.99779,0.999432
32,-1.99776,0.999425
33,-1.99766,0.9994
34,-1.99754,0.999371
35,-1.9975,0.99936
36,-1.99746,0.99935
37,-1.99748,0.999357
38,-1.99748,0.999358
39,-1.99751,0.999364
40,-1.99751,0.999365
41,-1.99751,0.999366
42,-1.99744,0.999348
43,-1.99742,0.999344
44,-1.99738,0.999332
45,-1.99733,0.99932
46,-1.99734,0.999322
47,-1.99734,0.999323
48,-1.99732,0.999317
49,-1.99734,0.999322
50,-1.99733,0.99932
51,-1.99736,0.999329
52,-1.99731,0.999315
53,-1.9973,0.999313
54,-1.99729,0.999311
55,-1.99729,0.999313
56,-1.9973,0.999314
57,-1.99726,0.999305
58,-1.9973,0.999314
59,-1.99726,0.999305
60,-1.99724,0.9993
61,-1.99722,0.999295
62,-1.99717,0.999284
63,-1.99712,0.99927
64,-1.99705,0.999247
65,-1.99703,0.999237
66,-1.99702,0.999236
67,-1.99706,0.999245
68,-1.99706,0.999247
69,-1.99707,0.999249
70,-1.99708,0.999251
71,-1.99706,0.999248
72,-1.99705,0.999244
73,-1.99704,0.999241
74,-1.99702,0.999238
75,-1.99702,0.999237
76,-1.99704,0.999242
77,-1.99704,0.999244
78,-1.99706,0.999249
79,-1.99707,0.999251
80,-1.99709,0.999255
81,-1.9971,0.999259
82,-1.99709,0.999256
83,-1.9971,0.99926
84,-1.99712,0.999264
85,-1.99713,0.999268
86,-1.99715,0.999272
87,-1.99714,0.999269
88,-1.99712,0.999266
89,-1.99713,0.999267
90,-1.99715,0.999273
91,-1.99714,0.99927
92,-1.99713,0.99927
93,-1.99713,0.999269
94,-1.99714,0.999272
95,-1.99714,0.999269
96,-1.99711,0.999262
97,-1.99709,0.999258
98,-1.99711,0.999263
99,-1.99714,0.999271
100,-1.99716,0.999274
101,-1.99716,0.999275
102,-1.99716,0.999275
103,-1.99715,0.999274
104,-1.99716,0.999275
105,-1.99715,0.999274
106,-1.99717,0.999277
107,-1.99719,0.999284
108,-1.9972,0.999287
109,-1.99719,0.999283
110,-1.9972,0.999285
111,-1.99721,0.999288
112,-1.9972,0.999286
113,-1.99719,0.999283
114,-1.99719,0.999284
115,-1.9972,0.999285
116,-1.99717,0.999278
117,-1.99715,0.999272
118,-1.99713,0.999268
119,-1.99713,0.999267
120,-1.99714,0.99927
121,-1.99713,0.999269
122,-1.99714,0.999272
123,-1.99713,0.99927
124,-1.99713,0.999269
125,-1.99712,0.999267
126,-1.99712,0.999265
127,-1.99711,0.999261
128,-1.9971,0.999261
129,-1.99711,0.999264
130,-1.9971,0.99926
131,-1.99711,0.999263
132,-1.99711,0.999264
133,-1.99712,0.999266
134,-1.99713,0.999269
135,-1.99715,0.999273
136,-1.99716,0.999275
137,-1.99715,0.999273
138,-1.99714,0.999271
139,-1.99712,0.999265
140,-1.9971,0.999259
141,-1.99708,0.999252
142,-1.99708,0.999252
143,-1.99708,0.999253
144,-1.99708,0.999251
145,-1.99707,0.99925
146,-1.99707,0.999249
147,-1.99704,0.999244
148,-1.99703,0.999241
149,-1.99703,0.99924
150,-1.99703,0.99924
151,-1.99703,0.999241
152,-1.99703,0.999241
153,-1.99702,0.999238
154,-1.99701,0.999234
155,-1.99699,0.99923
156,-1.99697,0.999224
157,-1.99695,0.99922
158,-1.99694,0.999215
