N,expected_E,expected_M
1,-2,1
2,-2,1
3,-2,1
4,-2,1
5,-2,1
6,-2,1
7,-2,1
8,-2,1
9,-2,1
10,-2,1
11,-2,1
12,-2,1
13,-2,1
14,-2,1
15,-2,1
16,-2,1
17,-1.99882,0.999706
18,-1.99889,0.999722
19,-1.99895,0.999737
20,-1.999,0.99975
21,-1.99905,0.999762
22,-1.99909,0.999773
23,-1.99913,0.999783
24,-1.99917,0.999792
25,-1.9992,0.9998
26,-1.99923,0.999808
27,-1.99926,0.999815
28,-1.99929,0.999821
29,-1.99931,0.999828
30,-1.99867,0.999667
31,-1.99806,0.999516
32,-1.99812,0.999531
33,-1.99758,0.999394
34,-1.99706,0.999265
35,-1.99714,0.999286
36,-1.99722,0.999306
37,-1.9973,0.999324
38,-1.99737,0.999342
39,-1.99744,0.999359
40,-1.9975,0.999375
41,-1.99756,0.99939
42,-1.99762,0.999405
43,-1.99767,0.999419
44,-1.99773,0.999432
45,-1.99778,0.999444
46,-1.99783,0.999457
47,-1.99787,0.999468
48,-1.99792,0.999479
49,-1.99796,0.99949
50,-1.998,0.9995
51,-1.99804,0.99951
52,-1.99808,0.999519
53,-1.99811,0.999528
54,-1.99815,0.999537
55,-1.99818,0.999545
56,-1.99821,0.999554
57,-1.99825,0.999561
58,-1.99828,0.999569
59,-1.99831,0.999576
60,-1.99833,0.999583
61,-1.99836,0.99959
62,-1.99839,0.999597
63,-1.99841,0.999603
64,-1.99844,0.999609
65,-1.99846,0.999615
66,-1.99848,0.999621
67,-1.99851,0.999627
68,-1.99853,0.999632
69,-1.99855,0.999638
70,-1.99857,0.999643
71,-1.99859,0.999648
72,-1.99861,0.999653
73,-1.99863,0.999658
74,-1.99865,0.999662
75,-1.99867,0.999667
76,-1.99868,0.999671
77,-1.9987,0.999675
78,-1.99872,0.999679
79,-1.99873,0.999684
80,-1.99875,0.999687
81,-1.99877,0.999691
82,-1.99878,0.999695
83,-1.9988,0.999699
84,-1.99881,0.999702
85,-1.99882,0.999706
86,-1.99884,0.999709
87,-1.99862,0.999655
88,-1.99864,0.999659
89,-1.99865,0.999663
90,-1.99844,0.999611
91,-1.99846,0.999615
92,-1.99848,0.99962
93,-1.99849,0.999624
94,-1.9983,0.999574
95,-1.99832,0.999579
96,-1.99833,0.999583
97,-1.99835,0.999588
98,-1.99837,0.999592
99,-1.99838,0.999596
100,-1.9984,0.9996
101,-1.99842,0.999604
102,-1.99843,0.999608
103,-1.99845,0.999612
104,-1.99846,0.999615
105,-1.99848,0.999619
106,-1.99849,0.999623
107,-1.9985,0.999626
108,-1.99852,0.99963
109,-1.99853,0.999633
110,-1.99855,0.999636
111,-1.99856,0.99964
112,-1.99857,0.999643
113,-1.99858,0.999646
114,-1.9986,0.999649
115,-1.99861,0.999652
116,-1.99862,0.999655
117,-1.99863,0.999658
118,-1.99864,0.999661
119,-1.99866,0.999664
120,-1.99867,0.999667
121,-1.99868,0.999669
122,-1.99869,0.999672
123,-1.9987,0.999675
124,-1.99871,0.999677
125,-1.99872,0.99968
126,-1.99873,0.999683
127,-1.99874,0.999685
128,-1.99875,0.999688
129,-1.99876,0.99969
130,-1.99877,0.999692
131,-1.99878,0.999695
132,-1.99879,0.999697
133,-1.9988,0.999699
134,-1.99881,0.999701
135,-1.99881,0.999704
136,-1.99882,0.999706
137,-1.99883,0.999708
138,-1.99884,0.99971
139,-1.99885,0.999712
140,-1.99886,0.999714
141,-1.99887,0.999716
142,-1.99887,0.999718
143,-1.99888,0.99972
144,-1.99889,0.999722
145,-1.9989,0.999724
146,-1.9989,0.999726
147,-1.99891,0.999728
148,-1.99892,0.99973
149,-1.99893,0.999732
150,-1.99893,0.999733
151,-1.99894,0.999735
152,-1.99895,0.999737
153,-1.99895,0.999739
154,-1.99896,0.99974
155,-1.99897,0.999742
156,-1.99897,0.999744
157,-1.99898,0.999745
158,-1.99899,0.999747
159,-1.99899,0.999748
160,-1.999,0.99975
161,-1.99901,0.999752
162,-1.99901,0.999753
163,-1.9989,0.999724
164,-1.99866,0.999665
165,-1.99867,0.999667
166,-1.99867,0.999669
167,-1.99868,0.999671
168,-1.99869,0.999673
169,-1.9987,0.999675
170,-1.99871,0.999676
171,-1.99871,0.999678
172,-1.99872,0.99968
173,-1.99873,0.999682
174,-1.99862,0.999655
175,-1.99851,0.999629
176,-1.99841,0.999602
177,-1.99842,0.999605
178,-1.99843,0.999607
179,-1.99844,0.999609
180,-1.99844,0.999611
181,-1.99845,0.999613
182,-1.99846,0.999615
183,-1.99847,0.999617
184,-1.99848,0.99962
185,-1.99849,0.999622
186,-1.99849,0.999624
187,-1.9985,0.999626
188,-1.99851,0.999628
189,-1.99852,0.99963
190,-1.99853,0.999632
191,-1.99853,0.999634
192,-1.99854,0.999635
193,-1.99855,0.999637
194,-1.99856,0.999639
195,-1.99856,0.999641
196,-1.99857,0.999643
197,-1.99858,0.999645
198,-1.99859,0.999646
199,-1.99859,0.999648
200,-1.9986,0.99965
201,-1.99851,0.999627
202,-1.99851,0.999629
203,-1.99852,0.999631
204,-1.99853,0.999632
205,-1.99854,0.999634
206,-1.99854,0.999636
207,-1.99855,0.999638
208,-1.99856,0.999639
209,-1.99856,0.999641
210,-1.99857,0.999643
211,-1.99858,0.999645
212,-1.99858,0.999646
213,-1.99859,0.999648
214,-1.9986,0.99965
215,-1.9986,0.999651
216,-1.99861,0.999653
217,-1.99862,0.999654
218,-1.99862,0.999656
219,-1.99863,0.999658
220,-1.99864,0.999659
221,-1.99864,0.999661
222,-1.99865,0.999662
223,-1.99865,0.999664
224,-1.99866,0.999665
225,-1.99867,0.999667
226,-1.99867,0.999668
227,-1.99868,0.99967
228,-1.99868,0.999671
229,-1.99869,0.999672
230,-1.99861,0.999652
231,-1.99853,0.999632
232,-1.99845,0.999612
233,-1.99837,0.999592
234,-1.99838,0.999594
235,-1.99838,0.999596
236,-1.99839,0.999597
237,-1.9984,0.999599
238,-1.9984,0.999601
239,-1.99841,0.999603
240,-1.99842,0.999604
241,-1.99842,0.999606
242,-1.99843,0.999607
243,-1.99844,0.999609
244,-1.99844,0.999611
245,-1.99845,0.999612
246,-1.99846,0.999614
247,-1.99846,0.999615
248,-1.99847,0.999617
249,-1.99847,0.999618
250,-1.99848,0.99962
251,-1.99849,0.999622
252,-1.99849,0.999623
253,-1.9985,0.999625
254,-1.9985,0.999626
255,-1.99851,0.999627
256,-1.99852,0.999629
257,-1.99852,0.99963
258,-1.99845,0.999612
259,-1.99846,0.999614
260,-1.99846,0.999615
261,-1.99847,0.999617
262,-1.99847,0.999618
263,-1.9984,0.999601
264,-1.99833,0.999583
265,-1.99834,0.999585
266,-1.99835,0.999586
267,-1.99835,0.999588
